OBJECTID,ID_C_AUC,COD_COMUNA,ID_U_2017,NOMBRE,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,1,15202,15030,Visviri,1,1,0,3
2,2,15202,15030,Visviri,0,0,0,0
3,3,15202,15001,Ancolacane,0,0,0,0
4,4,15201,15007,Caquena,0,0,0,0
5,5,15201,15007,Caquena,0,0,0,0
6,6,15201,15022,Putre,2,2,1,1
7,7,15201,15022,Putre,0,2,2,0
8,8,15201,15022,Putre,0,0,0,0
9,9,15201,15022,Putre,0,0,0,0
10,10,15201,15021,Parinacota,0,0,0,0
11,11,15201,15025,Socoroma,0,0,0,0
12,12,15201,15008,Chapiquiña,0,0,0,0
13,13,15101,15003,Asentamiento Alberto Jordán,2,0,0,0
14,14,15101,15003,Asentamiento Alberto Jordán,0,0,2,0
15,15,15101,15016,Las Gaviotas,0,0,0,0
16,16,15101,15016,Las Gaviotas,0,3,0,0
17,17,15101,15011,El Morro,1,0,0,0
18,18,15101,15002,Arica,3,5,18,16
19,19,15101,15002,Arica,0,1,2,1
20,20,15201,15019,Pachama,0,0,0,0
21,21,15101,15002,Arica,0,0,0,0
22,22,15101,15002,Arica,21,18,14,22
23,23,15101,15002,Arica,8,7,4,7
24,24,15101,15002,Arica,1,4,3,1
25,25,15101,15002,Arica,19,20,22,28
26,26,15101,15002,Arica,12,17,24,41
27,27,15101,15024,Santa Rosa - Poconchile,0,0,0,0
28,28,15101,15017,Linderos,0,0,0,0
29,29,15101,15002,Arica,4,10,3,2
30,30,15101,15002,Arica,4,9,8,6
31,31,15101,15002,Arica,16,23,11,20
32,32,15101,15024,Santa Rosa - Poconchile,1,0,0,2
33,33,15101,15024,Santa Rosa - Poconchile,0,2,0,0
34,34,15101,15017,Linderos,0,0,0,0
35,35,15101,15002,Arica,0,0,0,0
36,36,15101,15002,Arica,0,0,0,0
37,37,15101,15002,Arica,0,4,4,1
38,38,15101,15002,Arica,11,10,14,12
39,39,15101,15002,Arica,1,0,0,0
40,40,15201,15004,Belén,0,0,1,0
41,41,15101,15002,Arica,0,0,0,0
42,42,15101,15002,Arica,0,0,1,0
43,43,15101,15002,Arica,1,3,4,3
44,44,15101,15002,Arica,10,11,10,10
45,45,15101,15002,Arica,9,13,19,14
46,46,15101,15002,Arica,12,18,12,20
47,47,15101,15002,Arica,0,0,0,0
48,48,15101,15002,Arica,0,0,0,0
49,49,15101,15002,Arica,1,2,0,2
50,50,15101,15002,Arica,7,14,11,6
51,51,15101,15002,Arica,8,23,29,23
52,52,15101,15002,Arica,16,21,34,30
53,53,15101,15002,Arica,12,11,19,26
54,54,15101,15002,Arica,2,4,6,2
55,55,15101,15002,Arica,1,0,0,0
56,56,15101,15002,Arica,0,0,0,0
57,57,15101,15002,Arica,0,11,8,12
58,58,15101,15002,Arica,9,13,13,12
59,59,15101,15002,Arica,3,2,1,7
60,60,15101,15002,Arica,6,10,9,9
61,61,15101,15002,Arica,2,3,3,2
62,62,15101,15002,Arica,0,0,0,1
63,63,15101,15002,Arica,0,0,0,0
64,64,15201,15013,Guallatire,0,0,0,0
65,65,15101,15002,Arica,0,0,0,0
66,66,15101,15002,Arica,0,0,0,0
67,67,15101,15002,Arica,12,10,9,8
68,68,15101,15002,Arica,8,8,23,20
69,69,15101,15002,Arica,0,11,4,6
70,70,15101,15002,Arica,5,10,3,21
71,71,15101,15002,Arica,0,0,0,1
72,72,15101,15002,Arica,0,0,1,0
73,73,15101,15002,Arica,0,1,0,0
74,74,15101,15002,Arica,0,0,1,0
75,75,15201,15013,Guallatire,0,0,0,0
76,76,15101,15002,Arica,0,0,0,0
77,77,15101,15002,Arica,0,0,0,0
78,78,15101,15002,Arica,2,1,0,0
79,79,15101,15002,Arica,0,1,1,1
80,80,15101,15002,Arica,1,1,2,1
81,81,15101,15002,Arica,0,0,0,0
82,82,15101,15002,Arica,0,0,3,4
83,83,15101,15002,Arica,0,0,0,1
84,84,15101,15002,Arica,0,0,0,0
85,85,15101,15002,Arica,0,0,0,0
86,86,15101,15002,Arica,0,0,0,1
87,87,15101,15002,Arica,0,0,0,0
88,88,15101,15002,Arica,0,0,0,0
89,89,15101,15002,Arica,0,0,0,1
90,90,15101,15002,Arica,0,0,0,0
91,91,15101,15023,San Miguel de Azapa,1,0,2,1
92,92,15101,15023,San Miguel de Azapa,0,0,0,0
93,93,15101,15002,Arica,0,0,0,0
94,94,15101,15023,San Miguel de Azapa,0,0,0,0
95,95,15101,15023,San Miguel de Azapa,0,0,3,0
96,96,15101,15029,Villa Primavera,0,0,0,0
97,97,15101,15018,Santuario Livilcar,0,0,0,0
98,98,15201,15026,Ticnamar,0,0,0,0
99,99,15201,15026,Ticnamar,0,0,0,0
100,100,15201,15027,Timalchaca,0,0,0,0
101,101,15102,15028,Timar,0,0,0,0
102,102,15102,15028,Timar,0,0,0,0
103,103,15102,15028,Timar,0,0,0,0
104,104,15102,15014,Guañacagua,0,0,0,0
105,105,15102,15014,Guañacagua,0,0,0,0
106,106,15102,15009,Codpa,0,0,0,0
107,107,15102,15020,Pachica,0,0,0,0
108,108,15102,15020,Pachica,0,0,0,0
109,109,15102,15012,Esquiña,0,0,0,0
110,110,15102,15015,Illapata,0,0,0,0
111,111,15102,15006,Camarones,0,0,0,0
112,112,15102,15006,Camarones,0,0,0,0
113,113,15102,15010,Cuya,0,0,0,0
114,114,15102,15010,Cuya,0,0,0,3
115,115,1404,1043,Miñimiñe,0,0,0,0
116,116,1404,1043,Miñimiñe,0,0,0,0
117,117,1404,1043,Miñimiñe,0,0,0,0
118,118,1402,1046,Nama,0,0,0,0
119,119,15102,15005,Caleta Camarones,0,0,0,0
120,120,1403,1024,Enquelga,0,0,0,0
121,121,1403,1024,Enquelga,0,0,0,0
122,122,1403,1032,Isluga,0,0,0,0
123,123,1403,1032,Isluga,0,0,0,0
124,124,1403,1020,Colchane,0,0,0,0
125,125,1403,1020,Colchane,0,0,0,0
126,126,1403,1025,Escapiña,0,0,0,0
127,127,1403,1013,Central Citani,0,0,0,0
128,128,1403,1022,Cotasaya,0,0,0,0
129,129,1403,1020,Colchane,0,0,0,0
130,130,1403,1020,Colchane,0,0,0,1
131,131,1403,1052,Pisiga Carpa,0,0,0,0
132,132,1403,1022,Cotasaya,0,0,0,0
133,133,1403,1053,Pisiga Centro,0,0,0,0
134,134,1403,1054,Pisiga Choque,0,0,0,0
135,135,1402,1008,Camiña,0,0,0,0
136,136,1402,1008,Camiña,0,0,0,0
137,137,1402,1003,Apamilca,0,0,0,0
138,138,1403,1053,Pisiga Centro,0,0,0,0
