ID_C_AUC,N_1A7D,N_8A14D,N_15a21d,N_22a28d
1,0,0,2,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,1,1,2,3
7,0,0,1,3
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,2,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,3
17,0,0,1,0
18,4,5,4,14
19,2,0,0,1
20,0,0,0,0
21,0,0,0,0
22,10,18,24,13
23,4,13,9,6
24,1,6,1,3
25,11,17,21,20
26,7,13,12,13
27,0,0,0,0
28,0,0,0,0
29,4,8,5,5
30,1,8,4,6
31,19,16,14,17
32,0,1,0,0
33,0,0,1,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,1,0,1,3
38,8,23,10,14
39,0,1,0,0
40,0,1,0,0
41,0,0,0,0
42,0,0,0,0
43,4,4,3,4
44,5,18,7,13
45,13,7,11,12
46,6,25,11,17
47,0,0,0,0
48,0,0,0,0
49,5,5,0,1
50,3,11,8,17
51,13,22,9,28
52,12,15,18,36
53,13,11,13,15
54,3,4,3,4
55,0,0,1,0
56,0,0,0,0
57,1,7,1,13
58,3,7,15,4
59,1,5,2,2
60,6,7,11,7
61,1,2,2,1
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,1,9,17,6
68,4,10,9,12
69,2,5,3,8
70,7,9,7,10
71,0,0,0,0
72,0,0,0,0
73,0,0,1,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,2,1
79,0,1,0,2
80,1,2,0,2
81,0,0,0,0
82,0,0,0,2
83,0,1,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,4,0,0
92,0,1,0,0
93,0,0,0,0
94,0,0,0,0
95,0,2,0,0
96,0,0,0,0
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
