ID_C_AUC,N_1a11d
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,5
18,17
19,0
20,0
21,0
22,42
23,17
24,4
25,47
26,30
27,0
28,0
29,6
30,17
31,16
32,1
33,0
34,0
35,0
36,0
37,2
38,5
39,0
40,0
41,0
42,0
43,6
44,14
45,17
46,14
47,0
48,0
49,16
50,20
51,26
52,29
53,40
54,7
55,0
56,0
57,16
58,17
59,10
60,12
61,1
62,0
63,0
64,0
65,0
66,0
67,11
68,26
69,12
70,12
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,3
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,3
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,18
215,13
216,0
217,0
218,34
219,49
220,21
221,0
222,10
223,41
224,54
225,1
226,1
227,24
228,53
229,9
230,0
231,6
232,40
233,24
234,0
235,0
236,13
237,0
238,0
239,1
240,0
241,10
242,28
243,0
244,7
245,2
246,0
247,7
248,13
249,0
250,1
251,13
252,17
253,16
254,1
255,0
256,1
257,0
258,1
259,5
260,0
261,0
262,14
263,26
264,12
265,1
266,0
267,0
268,0
269,0
270,2
271,0
272,9
273,14
274,17
275,6
276,12
277,0
