ID_C_AUC,NOMBRE,COD_REGION,COD_COMUNA,COMUNA,X1,Y1,X2,Y2,X3,Y3,X4,Y4
1,Visviri,15,15202,GENERAL LAGOS,-7734606.52938142,-1991091.63007767,-7735655.71332016,-1991088.92295415,-7735652.99738784,-1990033.34145018,-7734603.86562264,-1990036.04696014
2,Visviri,15,15202,GENERAL LAGOS,-7734606.52938142,-1991091.63007767,-7734603.86562264,-1990036.04696014,-7733554.73226783,-1990038.69999253,-7733557.34385268,-1991094.28469231
3,Ancolacane,15,15202,GENERAL LAGOS,-7748340.17235871,-2020629.18223235,-7749390.80616957,-2020625.73576956,-7749387.35511317,-2019568.7142768,-7748336.77434503,-2019572.15870609
4,Caquena,15,15201,PUTRE,-7703186.17168058,-2043996.06023835,-7704238.0387075,-2043994.89458279,-7704236.85357594,-2042936.64651085,-7703185.04029674,-2042937.81148396
5,Caquena,15,15201,PUTRE,-7704238.0387075,-2043994.89458279,-7703186.17168058,-2043996.06023835,-7703187.30372777,-2045054.36242476,-7704239.22453393,-2045053.1960866
6,Putre,15,15201,PUTRE,-7743207.3956357,-2060852.23689392,-7744260.07817448,-2060848.98573329,-7744256.82048941,-2059789.92856886,-7743204.19219184,-2059793.17783665
7,Putre,15,15201,PUTRE,-7742154.71122908,-2060855.43346729,-7743207.3956357,-2060852.23689392,-7743204.19219184,-2059793.17783665,-7742151.56202689,-2059796.37254896
8,Putre,15,15201,PUTRE,-7743210.60094739,-2061911.34987437,-7744263.33775902,-2061908.09682045,-7744260.07817448,-2060848.98573329,-7743207.3956357,-2060852.23689392
9,Putre,15,15201,PUTRE,-7743210.60094739,-2061911.34987437,-7743207.3956357,-2060852.23689392,-7742154.71122908,-2060855.43346729,-7742157.86226748,-2061914.54830924
10,Parinacota,15,15201,PUTRE,-7710574.99003077,-2061985.10156808,-7711627.77004842,-2061983.54187709,-7711626.19309533,-2060924.38688034,-7710573.46736084,-2060925.94566357
11,Socoroma,15,15201,PUTRE,-7747445.5493515,-2069313.25890676,-7748498.65915669,-2069309.77322476,-7748495.16829012,-2068250.29170108,-7747442.1129775,-2068253.77535927
12,Chapiquiña,15,15201,PUTRE,-7740116.68203487,-2084174.78153794,-7741170.57143285,-2084171.65448707,-7741167.43667202,-2083111.39812896,-7740113.60221411,-2083114.52337289
13,Asentamiento Alberto Jordán,15,15101,ARICA,-7810735.2685903,-2085963.3484995,-7811789.07604935,-2085956.51052335,-7811782.25379549,-2084896.33881174,-7810728.50129385,-2084903.17283952
14,Asentamiento Alberto Jordán,15,15101,ARICA,-7810735.2685903,-2085963.3484995,-7810728.50129385,-2084903.17283952,-7809674.74487971,-2084909.95159191,-7809681.45721781,-2085970.13116833
15,Las Gaviotas,15,15101,ARICA,-7807573.8228596,-2085983.53058026,-7808627.64196365,-2085976.8585289,-7808620.98458483,-2084916.67506797,-7807567.22044099,-2084923.34326675
16,Las Gaviotas,15,15101,ARICA,-7807573.8228596,-2085983.53058026,-7807567.22044099,-2084923.34326675,-7806513.45247997,-2084929.95618734,-7806519.99993744,-2085990.14732148
17,El Morro,15,15101,ARICA,-7817065.15466132,-2086981.6971873,-7818118.99295578,-2086974.52324654,-7818111.83684186,-2085914.32126652,-7817058.05353076,-2085921.49106634
18,Arica,15,15101,ARICA,-7824449.42505655,-2087990.54877498,-7825503.28873363,-2087982.98316313,-7825495.74340524,-2086922.75641015,-7824441.93473616,-2086930.3176565
19,Arica,15,15101,ARICA,-7823395.55705091,-2087998.05902862,-7824449.42505655,-2087990.54877498,-7824441.93473616,-2086930.3176565,-7823388.12173955,-2086937.82357658
