Fecha,Comuna,Casos Confirmados,CUT
29-03-2020,Arica,6,15101
29-03-2020,Camarones,0,15102
29-03-2020,General Lagos,0,15202
29-03-2020,Putre,0,15201
29-03-2020,Alto Hospicio,0,01107
29-03-2020,Camiña,0,01402
29-03-2020,Colchane,0,01403
29-03-2020,Huara,0,01404
29-03-2020,Iquique,5,01101
29-03-2020,Pica,0,01405
29-03-2020,Pozo Almonte,0,01401
29-03-2020,Antofagasta,29,02101
29-03-2020,Calama,3,02201
29-03-2020,María Elena,0,02302
29-03-2020,Mejillones,0,02102
29-03-2020,Ollagüe,0,02202
29-03-2020,San Pedro de Atacama,1,02203
29-03-2020,Sierra Gorda,0,02103
29-03-2020,Taltal,0,02104
29-03-2020,Tocopilla,2,02301
29-03-2020,Alto del Carmen,0,03302
29-03-2020,Caldera,0,03102
29-03-2020,Chañaral,0,03201
29-03-2020,Copiapó,1,03101
29-03-2020,Diego de Almagro,1,03202
29-03-2020,Freirina,0,03303
29-03-2020,Huasco,0,03304
29-03-2020,Tierra Amarilla,0,03103
29-03-2020,Vallenar,0,03301
29-03-2020,Andacollo,0,04103
29-03-2020,Canela,0,04202
29-03-2020,Combarbalá,0,04302
29-03-2020,Coquimbo,17,04102
29-03-2020,Illapel,0,04201
29-03-2020,La Higuera,0,04104
29-03-2020,La Serena,2,04101
29-03-2020,Los Vilos,1,04203
29-03-2020,Monte Patria,0,04303
29-03-2020,Ovalle,4,04301
29-03-2020,Paihuano,0,04105
29-03-2020,Punitaqui,0,04304
29-03-2020,Río Hurtado,1,04305
29-03-2020,Salamanca,2,04204
29-03-2020,Vicuña,0,04106
29-03-2020,Algarrobo,7,05602
29-03-2020,Cabildo,0,05402
29-03-2020,La Calera,6,05502
29-03-2020,Calle Larga,0,05302
29-03-2020,Cartagena,0,05603
29-03-2020,Casablanca,1,05102
29-03-2020,Catemu,0,05702
29-03-2020,Concón,1,05103
29-03-2020,El Quisco,0,05604
29-03-2020,El Tabo,1,05605
29-03-2020,Hijuelas,0,05503
29-03-2020,Isla de Pascua,1,05201
29-03-2020,Juan Fernández,0,05104
29-03-2020,La Cruz,0,05504
29-03-2020,La Ligua,2,05401
29-03-2020,Limache,2,05802
29-03-2020,Llaillay,0,05703
29-03-2020,Los Andes,2,05301
29-03-2020,Nogales,0,05506
29-03-2020,Olmué,0,05803
29-03-2020,Panquehue,0,05704
29-03-2020,Papudo,0,05403
29-03-2020,Petorca,0,05404
29-03-2020,Puchuncaví,0,05105
29-03-2020,Putaendo,1,05705
29-03-2020,Quillota,6,05501
29-03-2020,Quilpué,11,05801
29-03-2020,Quintero,3,05107
29-03-2020,Rinconada,0,05303
29-03-2020,San Antonio,2,05601
29-03-2020,San Esteban,0,05304
29-03-2020,San Felipe,3,05701
29-03-2020,Santa María,0,05706
29-03-2020,Santo Domingo,2,05606
29-03-2020,Valparaíso,16,05101
29-03-2020,Villa Alemana,6,05804
29-03-2020,Viña del Mar,29,05109
29-03-2020,Zapallar,0,05405
29-03-2020,Alhué,0,13502
29-03-2020,Buin,7,13402
29-03-2020,Calera de Tango,6,13403
29-03-2020,Cerrillos,3,13102
29-03-2020,Cerro Navia,19,13103
29-03-2020,Colina,32,13301
29-03-2020,Conchalí,14,13104
29-03-2020,Curacaví,5,13503
29-03-2020,El Bosque,18,13105
29-03-2020,El Monte,1,13602
29-03-2020,Estación Central,16,13106
29-03-2020,Huechuraba,17,13107
29-03-2020,Independencia,15,13108
29-03-2020,Isla de Maipo,0,13603
29-03-2020,La Cisterna,10,13109
29-03-2020,La Florida,43,13110
29-03-2020,La Granja,5,13111
29-03-2020,La Pintana,2,13112
29-03-2020,La Reina,24,13113
29-03-2020,Lampa,10,13302
29-03-2020,Las Condes,181,13114
29-03-2020,Lo Barnechea,68,13115
29-03-2020,Lo Espejo,4,13116
29-03-2020,Lo Prado,14,13117
29-03-2020,Macul,10,13118
29-03-2020,Maipú,43,13119
29-03-2020,María Pinto,0,13504
29-03-2020,Melipilla,6,13501
29-03-2020,Ñuñoa,67,13120
29-03-2020,Padre Hurtado,10,13604
29-03-2020,Paine,3,13404
29-03-2020,Pedro Aguirre Cerda,7,13121
29-03-2020,Peñaflor,10,13605
29-03-2020,Peñalolén,31,13122
29-03-2020,Pirque,0,13202
29-03-2020,Providencia,82,13123
29-03-2020,Pudahuel,17,13124
29-03-2020,Puente Alto,45,13201
29-03-2020,Quilicura,17,13125
29-03-2020,Quinta Normal,21,13126
29-03-2020,Recoleta,17,13127
29-03-2020,Renca,9,13128
29-03-2020,San Bernardo,32,13401
29-03-2020,San Joaquín,13,13129
29-03-2020,San José de Maipo,2,13203
29-03-2020,San Miguel,25,13130
29-03-2020,San Pedro,0,13505
29-03-2020,San Ramón,1,13131
29-03-2020,Santiago,127,13101
29-03-2020,Talagante,3,13601
29-03-2020,Til Til,2,13303
29-03-2020,Vitacura,83,13132
29-03-2020,Chépica,0,06302
29-03-2020,Chimbarongo,0,06303
29-03-2020,Codegua,0,06102
29-03-2020,Coinco,0,06103
29-03-2020,Coltauco,0,06104
