Fecha,CUT,Region,Comuna,Confirmados Acumulados,Nuevos Confirmados
18-03-2020,15101,AP,Arica,1,1
19-03-2020,15101,AP,Arica,1,0
20-03-2020,15101,AP,Arica,1,0
21-03-2020,15101,AP,Arica,1,0
22-03-2020,15101,AP,Arica,2,1
23-03-2020,15101,AP,Arica,2,0
24-03-2020,15101,AP,Arica,2,0
25-03-2020,15101,AP,Arica,2,0
26-03-2020,15101,AP,Arica,3,1
27-03-2020,15101,AP,Arica,3,0
28-03-2020,15101,AP,Arica,3,0
29-03-2020,15101,AP,Arica,6,3
30-03-2020,15101,AP,Arica,6,0
31-03-2020,15101,AP,Arica,6,0
01-04-2020,15101,AP,Arica,7,1
02-04-2020,15101,AP,Arica,11,4
03-04-2020,15101,AP,Arica,12,1
04-04-2020,15101,AP,Arica,28,16
05-04-2020,15101,AP,Arica,32,4
06-04-2020,15101,AP,Arica,54,22
07-04-2020,15101,AP,Arica,54,0
08-04-2020,15101,AP,Arica,63,9
09-04-2020,15101,AP,Arica,75,12
10-04-2020,15101,AP,Arica,87,12
11-04-2020,15101,AP,Arica,107,20
12-04-2020,15101,AP,Arica,115,8
13-04-2020,15101,AP,Arica,115,0
14-04-2020,15101,AP,Arica,120,5
15-04-2020,15101,AP,Arica,124,4
16-04-2020,15101,AP,Arica,129,5
17-04-2020,15101,AP,Arica,134,5
18-04-2020,15101,AP,Arica,142,8
19-04-2020,15101,AP,Arica,145,3
20-04-2020,15101,AP,Arica,161,16
21-04-2020,15101,AP,Arica,170,9
22-04-2020,15101,AP,Arica,180,10
23-04-2020,15101,AP,Arica,210,30
24-04-2020,15101,AP,Arica,239,29
25-04-2020,15101,AP,Arica,245,6
26-04-2020,15101,AP,Arica,252,7
27-04-2020,15101,AP,Arica,265,13
28-04-2020,15101,AP,Arica,268,3
29-04-2020,15101,AP,Arica,272,4
30-04-2020,15101,AP,Arica,279,7
01-05-2020,15101,AP,Arica,297,18
02-05-2020,15101,AP,Arica,307,10
03-05-2020,15101,AP,Arica,308,1
04-05-2020,15101,AP,Arica,308,0
05-05-2020,15101,AP,Arica,315,7
06-05-2020,15101,AP,Arica,318,3
07-05-2020,15101,AP,Arica,325,7
08-05-2020,15101,AP,Arica,327,2
09-05-2020,15101,AP,Arica,337,10
10-05-2020,15101,AP,Arica,340,3
11-05-2020,15101,AP,Arica,351,11
12-05-2020,15101,AP,Arica,351,0
13-05-2020,15101,AP,Arica,359,8
14-05-2020,15101,AP,Arica,363,4
15-05-2020,15101,AP,Arica,368,5
16-05-2020,15101,AP,Arica,377,9
17-05-2020,15101,AP,Arica,378,1
18-05-2020,15101,AP,Arica,398,20
19-05-2020,15101,AP,Arica,422,24
20-05-2020,15101,AP,Arica,424,2
21-05-2020,15101,AP,Arica,453,29
22-05-2020,15101,AP,Arica,471,18
23-05-2020,15101,AP,Arica,482,11
24-05-2020,15101,AP,Arica,498,16
25-05-2020,15101,AP,Arica,513,15
26-05-2020,15101,AP,Arica,522,9
27-05-2020,15101,AP,Arica,541,19
28-05-2020,15101,AP,Arica,562,21
29-05-2020,15101,AP,Arica,582,20
30-05-2020,15101,AP,Arica,588,6
31-05-2020,15101,AP,Arica,619,31
01-06-2020,15101,AP,Arica,636,17
02-06-2020,15101,AP,Arica,654,18
03-06-2020,15101,AP,Arica,701,47
04-06-2020,15101,AP,Arica,736,35
05-06-2020,15101,AP,Arica,782,46
06-06-2020,15101,AP,Arica,819,37
07-06-2020,15101,AP,Arica,850,31
08-06-2020,15101,AP,Arica,873,23
09-06-2020,15101,AP,Arica,913,40
10-06-2020,15101,AP,Arica,928,15
11-06-2020,15101,AP,Arica,965,37
12-06-2020,15101,AP,Arica,1009,44
13-06-2020,15101,AP,Arica,1060,51
14-06-2020,15101,AP,Arica,1106,46
15-06-2020,15101,AP,Arica,1136,30
16-06-2020,15101,AP,Arica,1153,17
17-06-2020,15101,AP,Arica,1210,57
18-06-2020,15101,AP,Arica,1231,21
19-06-2020,15101,AP,Arica,1287,56
20-06-2020,15101,AP,Arica,1317,30
21-06-2020,15101,AP,Arica,1362,45
22-06-2020,15101,AP,Arica,1411,49
23-06-2020,15101,AP,Arica,1434,23
24-06-2020,15101,AP,Arica,1463,29
25-06-2020,15101,AP,Arica,1502,39
26-06-2020,15101,AP,Arica,1540,38
27-06-2020,15101,AP,Arica,1602,62
28-06-2020,15101,AP,Arica,1640,38
29-06-2020,15101,AP,Arica,1676,36
30-06-2020,15101,AP,Arica,1704,28
01-07-2020,15101,AP,Arica,1767,63
07-06-2020,15201,AP,Putre,1,1
08-06-2020,15201,AP,Putre,1,0
09-06-2020,15201,AP,Putre,1,0
10-06-2020,15201,AP,Putre,2,1
11-06-2020,15201,AP,Putre,2,0
12-06-2020,15201,AP,Putre,2,0
13-06-2020,15201,AP,Putre,2,0
14-06-2020,15201,AP,Putre,3,1
15-06-2020,15201,AP,Putre,3,0
16-06-2020,15201,AP,Putre,3,0
17-06-2020,15201,AP,Putre,8,5
18-06-2020,15201,AP,Putre,8,0
19-06-2020,15201,AP,Putre,8,0
20-06-2020,15201,AP,Putre,8,0
21-06-2020,15201,AP,Putre,9,1
22-06-2020,15201,AP,Putre,9,0
23-06-2020,15201,AP,Putre,9,0
24-06-2020,15201,AP,Putre,9,0
25-06-2020,15201,AP,Putre,9,0
26-06-2020,15201,AP,Putre,9,0
27-06-2020,15201,AP,Putre,9,0
28-06-2020,15201,AP,Putre,9,0
29-06-2020,15201,AP,Putre,9,0
30-06-2020,15201,AP,Putre,9,0
01-07-2020,15201,AP,Putre,9,0
22-03-2020,1101,TA,Iquique,1,1
23-03-2020,1101,TA,Iquique,4,3
24-03-2020,1101,TA,Iquique,4,0
25-03-2020,1101,TA,Iquique,5,1
26-03-2020,1101,TA,Iquique,5,0
27-03-2020,1101,TA,Iquique,5,0
28-03-2020,1101,TA,Iquique,6,1
29-03-2020,1101,TA,Iquique,8,2
30-03-2020,1101,TA,Iquique,8,0
31-03-2020,1101,TA,Iquique,9,1
01-04-2020,1101,TA,Iquique,9,0
02-04-2020,1101,TA,Iquique,10,1
03-04-2020,1101,TA,Iquique,12,2
04-04-2020,1101,TA,Iquique,13,1
05-04-2020,1101,TA,Iquique,13,0
06-04-2020,1101,TA,Iquique,13,0
07-04-2020,1101,TA,Iquique,13,0
08-04-2020,1101,TA,Iquique,16,3
09-04-2020,1101,TA,Iquique,17,1
10-04-2020,1101,TA,Iquique,21,4
11-04-2020,1101,TA,Iquique,22,1
12-04-2020,1101,TA,Iquique,24,2
13-04-2020,1101,TA,Iquique,27,3
14-04-2020,1101,TA,Iquique,27,0
15-04-2020,1101,TA,Iquique,27,0
16-04-2020,1101,TA,Iquique,28,1
17-04-2020,1101,TA,Iquique,32,4
18-04-2020,1101,TA,Iquique,33,1
19-04-2020,1101,TA,Iquique,36,3
20-04-2020,1101,TA,Iquique,36,0
21-04-2020,1101,TA,Iquique,40,4
22-04-2020,1101,TA,Iquique,46,6
23-04-2020,1101,TA,Iquique,57,11
24-04-2020,1101,TA,Iquique,59,2
25-04-2020,1101,TA,Iquique,64,5
26-04-2020,1101,TA,Iquique,70,6
27-04-2020,1101,TA,Iquique,72,2
28-04-2020,1101,TA,Iquique,75,3
29-04-2020,1101,TA,Iquique,79,4
30-04-2020,1101,TA,Iquique,90,11
01-05-2020,1101,TA,Iquique,90,0
02-05-2020,1101,TA,Iquique,96,6
03-05-2020,1101,TA,Iquique,116,20
04-05-2020,1101,TA,Iquique,134,18
05-05-2020,1101,TA,Iquique,159,25
06-05-2020,1101,TA,Iquique,174,15
07-05-2020,1101,TA,Iquique,236,62
08-05-2020,1101,TA,Iquique,268,32
09-05-2020,1101,TA,Iquique,279,11
10-05-2020,1101,TA,Iquique,299,20
11-05-2020,1101,TA,Iquique,309,10
12-05-2020,1101,TA,Iquique,325,16
