CUT (Código Único Territorial),Nombre,Provincia,,Superficie,Población,Densidad,IDH 2005,IDH Categoria,Lat,Lon
15101,Arica,Arica,Arica y Parinacota,4799.4,221364,0.46,38.4,Alto,-18.455,-70.29
15102,Camarones,Arica,Arica y Parinacota,3927,1255,0.32,0.751,Alto,-19.017,-69.867
15201,Putre,Parinacota,Arica y Parinacota,5902.5,2765,0.47,0.707,Alto,-18.2,-69.583
15202,General Lagos,Parinacota,Arica y Parinacota,2244.4,684,0.31,0.67,Medio,-17.653,-69.635
1101,Iquique,Iquique,Tarapacá,2242.1,191468,85.4,0.766,Alto,-20.244,-70.139
1107,Alto Hospicio,Iquique,Tarapacá,572.9,108375,189.2,,Bajo,-20.257,-70.022
1401,Pozo Almonte,Tamarugal,Tarapacá,13765.8,15711,1.14,0.722,Alto,-20.291,-69.696
1402,Camiña,Tamarugal,Tarapacá,2200.2,1250,0.57,0.619,Medio,-20.483,-69.367
1403,Colchane,Tamarugal,Tarapacá,4015.6,1728,0.43,0.603,Medio,-19.284,-68.675
1404,Huara,Tamarugal,Tarapacá,10474.6,2730,0.26,0.676,Medio,-19.809,-69.972
1405,Pica,Tamarugal,Tarapacá,8934.3,9296,1.04,0.793,Alto,-20.483,-69.378
2101,Antofagasta,Antofagasta,Antofagasta,30718.1,361873,11.8,0.734,Alto,-23.651,-70.395
2102,Mejillones,Antofagasta,Antofagasta,3803.9,13467,3.54,0.73,Alto,-23.11,-70.456
2103,Sierra Gorda,Antofagasta,Antofagasta,12886,10186,0.79,0.789,Alto,-22.898,-69.323
2104,Taltal,Antofagasta,Antofagasta,20405.1,13317,0.65,0.716,Alto,-25.41,-70.489
2201,Calama,El Loa,Antofagasta,15596.9,165731,10.6,0.757,Alto,-22.474,-68.924
2202,Ollagüe,El Loa,Antofagasta,2964,321,0.11,0.679,Medio,-21.233,-68.267
2203,San Pedro de Atacama,El Loa,Antofagasta,23439,10996,0.47,0.711,Alto,-22.92,-68.21
2301,Tocopilla,Tocopilla,Antofagasta,4038.8,25186,6.24,0.69,Medio,-22.082,-70.189
2302,María Elena,Tocopilla,Antofagasta,12197,6457,0.53,0.779,Alto,-22.317,-69.677
3101,Copiapó,Copiapó,Atacama,16681.3,153937,9.23,0.725,Alto,-27.375,-70.329
3102,Caldera,Copiapó,Atacama,4666.6,17662,3.79,0.741,Alto,-27.066,-70.826
3103,Tierra Amarilla,Copiapó,Atacama,11191,14019,1.25,0.686,Medio,-27.473,-70.283
3201,Chañaral,Chañaral,Atacama,5772,12219,2.12,0.714,Alto,-26.346,-70.624
3202,Diego de Almagro,Chañaral,Atacama,18664,13925,0.75,0.789,Alto,-26.39,-70.052
3301,Vallenar,Huasco,Atacama,7084,51917,7.33,0.731,Alto,-28.577,-70.77
3302,Alto del Carmen,Huasco,Atacama,5939,5299,0.89,0.664,Medio,-28.749,-70.491
3303,Freirina,Huasco,Atacama,3207.9,7041,2.19,0.693,Medio,-28.506,-71.076
3304,Huasco,Huasco,Atacama,1601.4,10149,6.34,0.695,Medio,-28.456,-71.186
4101,La Serena,Elqui,Coquimbo,1892.8,221054,116.8,0.781,Alto,-29.907,-71.247
4102,Coquimbo,Elqui,Coquimbo,1429,227730,159.4,0.731,Alto,-29.971,-71.307
4103,Andacollo,Elqui,Coquimbo,310,11044,35.7,0.675,Medio,-30.23,-71.086
4104,La Higuera,Elqui,Coquimbo,4158.2,4241,1.02,0.67,Medio,-29.5,-71.283
4105,Paihuano,Elqui,Coquimbo,1495,4497,3.01,0.734,Alto,-30.038,-70.507
4106,Vicuña,Elqui,Coquimbo,7610,27771,3.65,0.716,Alto,-30.019,-70.715
4201,Illapel,Choapa,Coquimbo,2629,30848,11.7,0.667,Medio,-31.639,-71.179
4202,Canela,Choapa,Coquimbo,2196.6,9093,4.14,0.644,Medio,-31.396,-71.419
4203,Los Vilos,Choapa,Coquimbo,1823.8,21382,11.7,0.675,Medio,-31.915,-71.506
4204,Salamanca,Choapa,Coquimbo,3445,29347,8.52,0.676,Medio,-31.78,-70.967
4301,Ovalle,Limarí,Coquimbo,3835,111272,29,0.725,Alto,-30.599,-71.189
4302,Combarbalá,Limarí,Coquimbo,2257.5,13322,5.9,0.661,Medio,-31.18,-71.004
4303,Monte Patria,Limarí,Coquimbo,4366.9,30751,7.04,0.653,Medio,-30.775,-70.943
4304,Punitaqui,Limarí,Coquimbo,1339,10956,8.18,0.653,Medio,-30.833,-71.26
4305,Río Hurtado,Limarí,Coquimbo,2180,4278,1.96,0.653,Medio,-30.273,-70.667
5101,Valparaíso,Valparaíso,Valparaíso,401.6,296655,738.7,0.701,Alto,-33.05,-71.616
5102,Casablanca,Valparaíso,Valparaíso,953,26867,28.2,0.712,Alto,-33.325,-71.41
5103,Concón,Valparaíso,Valparaíso,76,42152,554.6,0.781,Alto,-32.96,-71.469
5104,Juan Fernández,Valparaíso,Valparaíso,149.4,926,6.2,0.744,Alto,-33.633,-78.867
5105,Puchuncaví,Valparaíso,Valparaíso,300,18546,61.8,0.734,Alto,-32.748,-71.398
5107,Quintero,Valparaíso,Valparaíso,148,31923,215.7,0.733,Alto,-32.845,-71.467
5109,Viña del Mar,Valparaíso,Valparaíso,121.6,334248,2748.8,0.766,Alto,-33.025,-71.515
5201,Isla de Pascua,Isla de Pascua,Valparaíso,163.6,7750,47.4,0.715,Alto,-27.129,-109.36
5301,Los Andes,Los Andes,Valparaíso,1248,66708,53.5,0.756,Alto,-32.837,-70.597
5302,Calle Larga,Los Andes,Valparaíso,321.7,14832,46.1,0.706,Alto,-32.883,-70.482
5303,Rinconada,Los Andes,Valparaíso,122.5,10207,89.3,0.691,Medio,-32.833,-70.688
5304,San Esteban,Los Andes,Valparaíso,681,18855,27.7,0.732,Alto,-32.805,-70.581
5401,La Ligua,Petorca,Valparaíso,1163,35390,30.4,0.708,Alto,-32.354,-71.272
5402,Cabildo,Petorca,Valparaíso,1455,19388,13.3,0.671,Medio,-32.409,-71.08
5403,Papudo,Petorca,Valparaíso,64.3,6356,98.9,0.734,Alto,-32.47,-71.381
5404,Petorca,Petorca,Valparaíso,1517,9826,6.48,0.696,Medio,-32.29,-70.95
5405,Zapallar,Petorca,Valparaíso,288,7339,25.5,0.743,Alto,-32.568,-71.438
